"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Debe actualizar una comida","Update Comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","9","Debería regresar un error 404 si el alimento no existe","GET /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","15","Debe devolver un momento","Read Momento","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","10","Debería regresar un alimento por ID","GET /api/medidietas/alimentos/:id","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","11","Debe regresar un error 400 si ya existe una comida con el mismo nombre","POST /api/medidietas/comidas","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","6","Debe fallar si la contraseña es incorrecta","Usuario Login","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","8","Debe fallar si la contraseña es incorrecta","Experto Login","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","11","Debe fallar si el usuario no existe","Obtener Usuario Por Nombre","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","8","Debe lanzar un error si el correo ya existe","Update Experto","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","18","Debe lanzar un error si el nombre ya existe","Create comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","10","Debe lanzar un error si el alimento ya existe","Update Comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","71","Debe crear un usuario móvil","Create UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","25","Debe actualizar una comida existente","PUT /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","7","Debe regresar un error 404 si el id no es valido","GET /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","30","Debe lanzar un error al eliminar a un objetivo relacionado a un usuario","Delete Objetivo","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","39","Debe devolver un usuario móvil","Read UsuarioMovil","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","16","Debe regresar un error 400 si uno o más alimentos no existen","POST /api/medidietas/comidas","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","16","Debería regresar un error 400 si hay un error en la solicitud","POST /api/medidietas/alimentos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","8","Debe fallar si el correo es incorrecto","Experto Login","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","45","Deberia registrar un consumo","POST /api/medidietas/consumos","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","58","Debe devolver un experto en nutrición","Read Experto","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","31","Debe lanzar un error si el nombre ya existe","Create Alimento","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","6","Debería regresar un error 401 si no se envía un token","POST /api/medidietas/alimentos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","12","Debe fallar si el usuario no existe","Usuario Editar","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","18","Debería eliminar un alimento existente","DELETE /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","19","Deberia retornar error si id_usuario_movil no existe","POST /api/medidietas/consumos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","12","Debe regresar un error 404 si la comida no existe","DELETE /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","8","Debería regresar todas las categorías","GET /api/medidietas/alimentos/categorias","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","11","Deberia retornar error si id_alimento no existe","POST /api/medidietas/consumos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","70","Debe crear un experto en nutrición","Create Experto","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","7","Deberia retornar error si no se registra ni id_alimento ni id_comida","POST /api/medidietas/consumos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","61","Debe crear una comida","Create comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","11","Debería regresar un error 401 si no se envía un token","DELETE /api/medidietas/alimentos/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","7","Deberia retornar error si se registra ambos id_alimento y id_comida","POST /api/medidietas/consumos","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","9","Debe lanzar un error si el alimento ya existe","Update Alimento","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","16","Debe crear un usuario correctamente","Crear Usuario Movil","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","8","Debe eliminar un consumo","Delete Consumo","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","8","Deberia regresar un error 401 si no se envia el token","GET /api/medidietas/comidas","Wed Dec 11 12:51:19 CST 2024","passed","Wed Dec 11 12:51:19 CST 2024","","","",""
"","5","Deberia regresar un error 401 si no se envia el token","GET /api/medidietas/comidas/:id","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","10","Deberia retornar error si no se envia fecha","GET /api/medidietas/consumos/:nombre_usuario","Wed Dec 11 12:51:20 CST 2024","passed","Wed Dec 11 12:51:20 CST 2024","","","",""
"","7","Debe lanzar un error si la comida tiene relaciones con otras tablas","Delete Comida","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
"","9","Debe actualizar un alimento","Update Alimento","Wed Dec 11 12:51:18 CST 2024","passed","Wed Dec 11 12:51:18 CST 2024","","","",""
